id,color,title,url,media_id,type_id,year_acquired,year
18395293,939597,Textile,https://collection.cooperhewitt.org/objects/18395293/,35371135,35251739,1953,1953
18395673,939597,"Pleated Fan (Italy), late 18th-late 19th century",https://collection.cooperhewitt.org/objects/18395673/,404575367,69117343,1953,1953
18685423,939597,"Label, Advertisement for El Producto Cigar: Cigar as a Crowned King, ca. 1953",https://collection.cooperhewitt.org/objects/18685423/,35399021,35293655,2000,1953
18394171,939597,"Tile (England), ca. 1888-98",https://collection.cooperhewitt.org/objects/18394171/,35414521,35250645,1953,1953
18398349,939597,Border,https://collection.cooperhewitt.org/objects/18398349/,35414465,35237285,1953,1953
18650249,939597,"Sample Book, Wallpapers Designed by Alexander Girard for Herman Miller, 1953",https://collection.cooperhewitt.org/objects/18650249/,35426825,35247403,1995,1953
18638043,939597,"Sidewall (USA), 1953",https://collection.cooperhewitt.org/objects/18638043/,874411855,35256475,1991,1953
18701143,939597,"Drawing, Entrance Detail of Proposed Cottage for Kirk Wilkinson, Wellfleet, MA, 1953-54",https://collection.cooperhewitt.org/objects/18701143/,51497139,35237093,1962,1953
18805703,F5DF4D,"Textile, Wild Grass, 1954",https://collection.cooperhewitt.org/objects/18805703/,140495,35251739,1985,1954
18799753,F5DF4D,"Drawing, Study 124 #8A, 1954",https://collection.cooperhewitt.org/objects/18799753/,35519705,35237093,1982,1954
18400411,F5DF4D,"Amorino Plate, possibly ca. 1600",https://collection.cooperhewitt.org/objects/18400411/,874388685,35236833,1954,1954
18667343,939597,"Sidewall, Pomegranate and Pineapple, 1954",https://collection.cooperhewitt.org/objects/18667343/,35383619,35256475,1998,1954
18400559,939597,"Textile, 18th century",https://collection.cooperhewitt.org/objects/18400559/,35402827,35251739,1954,1954
18399801,939597,"Drawing, Design for Flowered Fabric or Wallpaper, 1880-90",https://collection.cooperhewitt.org/objects/18399801/,35435311,35237093,1954,1954
18439373,939597,"Samples, Auld Lang Syne, ca. 1959",https://collection.cooperhewitt.org/objects/18439373/,152252027,35255211,1961,1954
18677405,939597,"Collage, Textile Design: Cutout, no. 640, 1954",https://collection.cooperhewitt.org/objects/18677405/,35429569,35291251,1969,1954
18648813,939597,"Textile, Mosaic, 1954",https://collection.cooperhewitt.org/objects/18648813/,35402927,35251739,1994,1954
18401375,939597,Print (France),https://collection.cooperhewitt.org/objects/18401375/,35371135,35236873,1954,1954
18439371,939597,"Samples, Auld Lang Syne, ca. 1959",https://collection.cooperhewitt.org/objects/18439371/,152252027,35255211,1961,1954
18633353,939597,"Textile, Fishnet, designed 1954, reprinted 1988",https://collection.cooperhewitt.org/objects/18633353/,35398207,35251739,1989,1954
18399969,939597,"Scenic Panel, Decor Chinois, 1850-1900",https://collection.cooperhewitt.org/objects/18399969/,35406975,35287555,1954,1954
18401601,939597,"Toy Theater, Admiral Television Studio Script Book, Featuring Walt Disney's Peter Pan",https://collection.cooperhewitt.org/objects/18401601/,,35288323,1954,1954
18399737,939597,"Print, The Holy Family, 1848-49",https://collection.cooperhewitt.org/objects/18399737/,35371135,35236873,1954,1954
18637599,939597,"Sidewall (USA), 1954",https://collection.cooperhewitt.org/objects/18637599/,35414653,35256475,1991,1954
18677451,939597,"Collage, Textile Design: Quatrefoil, nos. 625-630, 1954",https://collection.cooperhewitt.org/objects/18677451/,35429601,35291251,1969,1954
18635905,939597,"Samples, Kon-Tiki, introduced 1954",https://collection.cooperhewitt.org/objects/18635905/,35402927,35255211,1991,1954
18638101,939597,"Sidewall (USA), 1954",https://collection.cooperhewitt.org/objects/18638101/,35406007,35256475,1991,1954
18789719,939597,"Textile, Ringles, 1954",https://collection.cooperhewitt.org/objects/18789719/,35402927,35251739,2011,1954
18801129,F5DF4D,"Textile, Design 103, Taliesin Line, 1955",https://collection.cooperhewitt.org/objects/18801129/,35390039,35251739,1983,1955
18478847,F5DF4D,"Drawing, Rough sketch, room: D, for Uris Hotels, August 3, 1955",https://collection.cooperhewitt.org/objects/18478847/,35379443,35237093,1972,1955
18419723,939597,"Printing Technique Sample, Japonica, ca. 1955",https://collection.cooperhewitt.org/objects/18419723/,35427057,69118555,1957,1955
18405831,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405831/,35371135,35266267,1955,1955
18680039,939597,"Sample, Pinstripe Linnet, 1955",https://collection.cooperhewitt.org/objects/18680039/,35414465,35268079,1969,1955
18405597,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405597/,35371135,35266267,1955,1955
18405775,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405775/,35371135,35266267,1955,1955
18419721,939597,"Printing Technique Sample, Japonica, ca. 1955",https://collection.cooperhewitt.org/objects/18419721/,35427057,69118555,1957,1955
18405783,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405783/,35371135,35266267,1955,1955
18404985,939597,Playing Card,https://collection.cooperhewitt.org/objects/18404985/,35371135,35266267,1955,1955
18402545,939597,Textile,https://collection.cooperhewitt.org/objects/18402545/,121769,35251739,1955,1955
18404995,939597,Playing Card,https://collection.cooperhewitt.org/objects/18404995/,35371135,35266267,1955,1955
18405037,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405037/,35371135,35266267,1955,1955
18405051,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405051/,35371135,35266267,1955,1955
18405765,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405765/,35371135,35266267,1955,1955
18405777,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405777/,35371135,35266267,1955,1955
18405789,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405789/,35371135,35266267,1955,1955
18405809,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405809/,35371135,35266267,1955,1955
18404097,939597,"Fruit Plate (England), 1753-56",https://collection.cooperhewitt.org/objects/18404097/,874388713,35295451,1955,1955
18404681,939597,"Decorative Panel, ""Mother and Child"" from the series ""The Ages of Man"", ca. 1850",https://collection.cooperhewitt.org/objects/18404681/,35393257,35308025,1955,1955
18405083,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405083/,35371135,35266267,1955,1955
18405829,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405829/,35371135,35266267,1955,1955
18405661,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405661/,35371135,35266267,1955,1955
18405755,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405755/,35371135,35266267,1955,1955
18405767,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405767/,35371135,35266267,1955,1955
18405781,939597,Playing Card,https://collection.cooperhewitt.org/objects/18405781/,35371135,35266267,1955,1955
